timestamp,station_id,station_name,latitude,longitude,temperature,humidity,pressure,wind_speed,wind_direction,hour,day,month,day_of_week,day_of_year,time_period,temperature_rolling_mean_24h,temperature_rolling_std_24h,temperature_deviation_24h,temperature_zscore_24h,pressure_rolling_mean_24h,pressure_rolling_std_24h,pressure_deviation_24h,pressure_zscore_24h,humidity_rolling_mean_24h,humidity_rolling_std_24h,humidity_deviation_24h,humidity_zscore_24h,original_temperature,original_pressure,original_humidity,is_anomaly,fault_type,fault_severity
2025-01-01 00:00:00,42131,Hissar,29.1667,75.7333,5.4,97.0,1020.7,0.0,0.0,0,1,1,2,1,Night,,,,,,,,,,,,,5.4,1020.7,97.0,0,normal,none
2025-01-01 01:00:00,42131,Hissar,29.1667,75.7333,6.1,98.0,1019.5,5.0,283.0,1,1,1,2,1,Night,,,,,,,,,,,,,6.1,1019.5,98.0,0,normal,none
2025-01-01 02:00:00,42131,Hissar,29.1667,75.7333,6.1,94.0,1019.8,5.4,274.0,2,1,1,2,1,Night,,,,,,,,,,,,,6.1,1019.8,94.0,0,normal,none
2025-01-01 03:00:00,42131,Hissar,29.1667,75.7333,8.0,97.0,1021.5,0.0,0.0,3,1,1,2,1,Night,5.866666666666667,0.4041451884327376,2.133333333333333,5.278631032590868,1020.0,0.6244997998398726,1.5,2.401922307076181,96.33333333333331,2.081665999466131,0.6666666666666714,0.3202563076101768,8.0,1021.5,97.0,0,normal,none
2025-01-01 04:00:00,42131,Hissar,29.1667,75.7333,7.6,96.0,1020.8,6.8,276.0,4,1,1,2,1,Night,6.4,1.116542281629615,1.1999999999999993,1.074746581247757,1020.375,0.9069178573608678,0.4249999999999545,0.4686201694569176,96.5,1.732050807568876,-0.5,-0.2886751345948131,7.6,1020.8,96.0,0,normal,none
2025-01-01 05:00:00,42131,Hissar,29.1667,75.7333,9.8,94.0,1021.0,6.5,292.0,5,1,1,2,1,Morning,6.640000000000001,1.1058933040759404,3.16,2.857418512575609,1020.46,0.8080841540334818,0.5399999999999636,0.6682472330444801,96.4,1.5165750888103091,-2.4000000000000057,-1.5825131361498936,9.8,1021.0,94.0,0,normal,none
2025-01-01 06:00:00,42131,Hissar,29.1667,75.7333,10.0,92.0,1022.1,3.6,320.0,6,1,1,2,1,Morning,7.166666666666667,1.6256280837469157,2.833333333333333,1.7429160837347086,1020.55,0.7556454194924995,1.5499999999999543,2.0512266203386145,96.0,1.6733200530681511,-4.0,-2.390457218668787,10.0,1022.1,92.0,0,normal,none
2025-01-01 07:00:00,42131,Hissar,29.1667,75.7333,14.9,72.0,1019.7,6.8,289.0,7,1,1,2,1,Morning,7.571428571428571,1.8300403326286607,7.328571428571429,4.004595580713079,1020.7714285714284,0.905012496625104,-1.0714285714284415,-1.1838826263989972,95.42857142857144,2.14919697074224,-23.42857142857143,-10.901081542321462,14.9,1019.7,72.0,0,normal,none
2025-01-01 08:00:00,42131,Hissar,29.1667,75.7333,16.3,65.0,1018.4,7.9,291.0,8,1,1,2,1,Morning,8.4875,3.095820915824613,7.8125,2.523563284964446,1020.6375,0.9195301595302348,-2.237500000000068,-2.433307898397973,92.5,8.518886580500329,-27.5,-3.2281213912329,16.3,1018.4,65.0,0,normal,none
2025-01-01 09:00:00,42131,Hissar,29.1667,75.7333,11.8,81.0,1019.1,3.6,320.0,9,1,1,2,1,Morning,9.355555555555556,3.8945831327342058,2.4444444444444446,0.6276523985067213,1020.3888888888888,1.1384687571958785,-1.2888888888888914,-1.132124953576686,89.44444444444444,12.146101340668032,-8.444444444444443,-0.6952390901079046,11.8,1019.1,81.0,0,normal,none
2025-01-01 10:00:00,42131,Hissar,29.1667,75.7333,17.1,63.0,1017.2,9.4,296.0,10,1,1,2,1,Morning,9.6,3.752332607858744,7.500000000000002,1.998756715833848,1020.26,1.1481385901633274,-3.059999999999945,-2.665183477165982,88.6,11.758684733704984,-25.599999999999994,-2.1771142419203056,17.1,1017.2,63.0,0,normal,none
2025-01-01 11:00:00,42131,Hissar,29.1667,75.7333,16.4,67.0,1017.1,7.6,299.0,11,1,1,2,1,Morning,10.281818181818185,4.21730202423734,6.118181818181816,1.4507336166629496,1019.981818181818,1.4274580076612935,-2.881818181818062,-2.018846205178078,86.27272727272727,13.565330140405052,-19.272727272727263,-1.4207341121262085,16.4,1017.1,67.0,0,normal,none
